Pokemon Yellow Super Rod table audit
====================================

Maps: 31
Slots per map: 4
Total canonical slots: 124

Map | Slot1 | Slot2 | Slot3 | Slot4
PALLET_TOWN | STARYU Lv.10 | TENTACOOL Lv.10 | STARYU Lv.5 | TENTACOOL Lv.20
VIRIDIAN_CITY | POLIWAG Lv.5 | POLIWAG Lv.10 | POLIWAG Lv.15 | POLIWAG Lv.10
CERULEAN_CITY | GOLDEEN Lv.25 | GOLDEEN Lv.30 | SEAKING Lv.30 | SEAKING Lv.40
VERMILION_CITY | TENTACOOL Lv.15 | TENTACOOL Lv.20 | TENTACOOL Lv.10 | HORSEA Lv.5
CELADON_CITY | GOLDEEN Lv.5 | GOLDEEN Lv.10 | GOLDEEN Lv.15 | GOLDEEN Lv.20
FUCHSIA_CITY | MAGIKARP Lv.5 | MAGIKARP Lv.10 | MAGIKARP Lv.15 | GYARADOS Lv.15
CINNABAR_ISLAND | STARYU Lv.15 | TENTACOOL Lv.15 | STARYU Lv.10 | TENTACOOL Lv.30
ROUTE_4 | GOLDEEN Lv.20 | GOLDEEN Lv.25 | GOLDEEN Lv.30 | SEAKING Lv.30
ROUTE_6 | GOLDEEN Lv.5 | GOLDEEN Lv.10 | GOLDEEN Lv.15 | GOLDEEN Lv.20
ROUTE_24 | GOLDEEN Lv.20 | GOLDEEN Lv.25 | GOLDEEN Lv.30 | SEAKING Lv.30
ROUTE_25 | KRABBY Lv.10 | KRABBY Lv.15 | KINGLER Lv.15 | KINGLER Lv.25
ROUTE_10 | KRABBY Lv.15 | KRABBY Lv.20 | HORSEA Lv.10 | KINGLER Lv.25
ROUTE_11 | TENTACOOL Lv.15 | TENTACOOL Lv.20 | TENTACOOL Lv.10 | HORSEA Lv.5
ROUTE_12 | HORSEA Lv.20 | HORSEA Lv.25 | SEADRA Lv.25 | SEADRA Lv.35
ROUTE_13 | HORSEA Lv.15 | HORSEA Lv.20 | TENTACOOL Lv.10 | SEADRA Lv.20
ROUTE_17 | TENTACOOL Lv.5 | TENTACOOL Lv.15 | SHELLDER Lv.25 | SHELLDER Lv.35
ROUTE_18 | TENTACOOL Lv.15 | SHELLDER Lv.20 | SHELLDER Lv.30 | SHELLDER Lv.40
ROUTE_19 | TENTACOOL Lv.15 | STARYU Lv.20 | TENTACOOL Lv.30 | TENTACRUEL Lv.30
ROUTE_20 | TENTACOOL Lv.20 | TENTACRUEL Lv.20 | STARYU Lv.30 | TENTACRUEL Lv.40
ROUTE_21 | TENTACOOL Lv.15 | STARYU Lv.20 | TENTACOOL Lv.30 | TENTACRUEL Lv.30
ROUTE_22 | POLIWAG Lv.5 | POLIWAG Lv.10 | POLIWAG Lv.15 | POLIWHIRL Lv.15
ROUTE_23 | POLIWAG Lv.25 | POLIWAG Lv.30 | POLIWHIRL Lv.30 | POLIWHIRL Lv.40
VERMILION_DOCK | TENTACOOL Lv.10 | TENTACOOL Lv.15 | STARYU Lv.15 | SHELLDER Lv.10
SAFARI_ZONE_CENTER | MAGIKARP Lv.5 | MAGIKARP Lv.10 | DRATINI Lv.10 | DRAGONAIR Lv.15
SAFARI_ZONE_EAST | MAGIKARP Lv.5 | MAGIKARP Lv.10 | MAGIKARP Lv.15 | DRATINI Lv.15
SAFARI_ZONE_NORTH | MAGIKARP Lv.5 | MAGIKARP Lv.10 | MAGIKARP Lv.15 | DRATINI Lv.15
SAFARI_ZONE_WEST | MAGIKARP Lv.5 | MAGIKARP Lv.10 | MAGIKARP Lv.15 | DRATINI Lv.15
SEAFOAM_ISLANDS_B3F | KRABBY Lv.25 | STARYU Lv.20 | KINGLER Lv.35 | STARYU Lv.40
SEAFOAM_ISLANDS_B4F | KRABBY Lv.25 | STARYU Lv.20 | KINGLER Lv.35 | STARYU Lv.40
CERULEAN_CAVE_1F | GOLDEEN Lv.25 | SEAKING Lv.35 | SEAKING Lv.45 | SEAKING Lv.55
CERULEAN_CAVE_B1F | GOLDEEN Lv.30 | SEAKING Lv.40 | SEAKING Lv.50 | SEAKING Lv.60
